Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gemiddelde snelheid,Max. snelheid,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gemiddelde fietscadans,Max. fietscadans,Training Stress Score®,Grit,Flow,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Totaal herhalingen,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Wegwielrennen,2023-08-09 13:42:34,false,"Gent Wegwielrennen","63.27","1,229","02:15:19","141","175","3.6","28.1","49.1","114","120","NaN","NaN","NaN","NaN","88","115","0.0","NaN","NaN","11351","NaN","NaN","NaN","21.0","Nee","00:15:16","8","38.0","30","13","39","02:15:04","02:27:04","-26","18"
Wegwielrennen,2023-08-08 13:08:09,false,"Antwerpen Wegwielrennen","93.64","2,137","04:00:29","141","173","3.9","23.4","38.2","231","240","NaN","NaN","NaN","NaN","86","122","0.0","NaN","NaN","19285","NaN","NaN","NaN","16.0","Nee","00:14:09","12","24.0","29","15","39","03:58:24","04:17:01","2","37"
Wegwielrennen,2023-08-07 10:13:10,false,"Antwerpen Wegwielrennen","44.79","887","01:52:49","132","185","2.9","23.8","51.3","117","122","NaN","NaN","NaN","NaN","85","124","0.0","NaN","NaN","8603","NaN","NaN","NaN","18.0","Nee","00:15:32","6","23.0","28","17","42","01:48:58","02:16:55","1","51"
Wegwielrennen,2023-07-17 19:15:14,false,"Antwerpen Wegwielrennen","30.63","790","00:57:48","156","184","4.2","31.8","47.9","64","69","NaN","NaN","NaN","NaN","97","126","0.0","NaN","NaN","5559","NaN","NaN","NaN","19.0","Nee","00:10:47","4","25.0","36","15","48","00:57:48","01:11:35","-23","65"
Wegwielrennen,2023-07-15 08:15:20,false,"Antwerpen Wegwielrennen","125.97","2,472","05:17:02","133","187","3.7","23.8","47.5","215","209","NaN","NaN","NaN","NaN","85","122","0.0","NaN","NaN","25168","NaN","NaN","NaN","21.0","Nee","00:13:49","16","34.0","29","13","48","05:12:57","06:17:27","-18","24"
Wegwielrennen,2023-07-12 08:29:32,false,"Antwerpen Wegwielrennen","45.57","797","01:50:38","123","185","2.4","24.7","54.1","111","112","NaN","NaN","NaN","NaN","85","132","0.0","NaN","NaN","8545","NaN","NaN","NaN","18.0","Nee","00:15:09","6","26.0","26","12","39","01:49:28","03:36:04","-7","14"
Wegwielrennen,2023-07-09 09:13:18,false,"Gent Wegwielrennen","63.16","1,345","02:10:16","147","184","3.8","29.1","53.0","99","108","NaN","NaN","NaN","NaN","95","122","0.0","NaN","NaN","11883","NaN","NaN","NaN","26.0","Nee","00:12:59","8","32.0","32","13","42","02:10:13","03:30:33","-15","29"
Wegwielrennen,2023-07-08 09:31:22,false,"Antwerpen Wegwielrennen","69.24","1,337","02:40:26","135","154","3.0","25.9","39.1","81","82","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","24.0","Nee","00:11:58","9","37.0","28","13","36","02:37:42","02:56:44","-29","28"
Wegwielrennen,2023-07-04 13:02:41,false,"Antwerpen Wegwielrennen","30.57","779","01:00:55","153","182","3.6","30.1","51.2","65","65","NaN","NaN","NaN","NaN","95","120","0.0","NaN","NaN","5793","NaN","NaN","NaN","21.0","Nee","00:10:54","4","25.0","32","16","44","01:00:53","01:13:26","-17","19"
Wegwielrennen,2023-06-27 11:05:16,false,"Antwerpen Wegwielrennen","70.49","1,455","02:34:39","138","180","3.6","27.3","42.8","139","138","NaN","NaN","NaN","NaN","90","117","0.0","NaN","NaN","13314","NaN","NaN","NaN","20.0","Nee","00:13:16","9","28.0","31","12","44","02:34:24","03:59:53","-17","76"
Wegwielrennen,2023-06-23 06:42:19,false,"Antwerpen Wegwielrennen","123.63","2,298","04:32:46","137","173","3.6","27.2","51.0","246","266","NaN","NaN","NaN","NaN","93","135","0.0","NaN","NaN","24492","NaN","NaN","NaN","15.0","Nee","00:05:17.8","16","29.0","29","15","41","04:32:09","06:06:29","-37","77"
Wegwielrennen,2023-06-21 18:52:09,false,"Antwerpen Wegwielrennen","44.29","976","01:37:20","141","188","3.3","27.3","50.2","91","89","NaN","NaN","NaN","NaN","86","124","0.0","NaN","NaN","7921","NaN","NaN","NaN","23.0","Nee","00:09:55.8","6","27.0","30","14","45","01:37:12","01:47:50","8","58"
Wegwielrennen,2023-06-19 18:22:05,false,"Antwerpen Wegwielrennen","47.51","989","01:42:50","141","199","3.7","27.7","53.0","100","96","NaN","NaN","NaN","NaN","83","167","0.0","NaN","NaN","7794","NaN","NaN","NaN","24.0","Nee","00:14:51","6","28.0","30","13","45","01:41:41","02:01:14","2","28"
Wegwielrennen,2023-06-17 07:28:03,false,"Antwerpen Wegwielrennen","87.43","1,489","03:40:28","120","159","2.6","23.8","39.7","234","192","NaN","NaN","NaN","NaN","78","118","0.0","NaN","NaN","15543","NaN","NaN","NaN","19.0","Nee","00:17:12","11","32.0","26","11","36","03:36:32","06:15:48","-21","41"
Wegwielrennen,2023-06-04 09:51:18,false,"Waasmunster Wegwielrennen","72.29","1,358","03:03:51","127","152","2.7","23.6","40.8","155","167","NaN","NaN","NaN","NaN","80","115","0.0","NaN","NaN","13691","NaN","NaN","NaN","20.0","Nee","00:18:03","9","29.0","26","13","36","03:02:52","03:58:20","-20","62"
Wegwielrennen,2023-05-16 23:03:06,false,"Antwerpen Wegwielrennen","30.74","746","01:07:13","141","172","3.2","27.4","50.1","110","65","NaN","NaN","NaN","NaN","88","115","0.0","NaN","NaN","5558","NaN","NaN","NaN","22.0","Nee","00:15:24","4","29.0","29","18","40","01:07:03","01:07:15","4","68"
Wegwielrennen,2023-04-22 11:02:01,false,"Antwerpen Wegwielrennen","42.55","925","01:44:21","133","177","2.7","24.5","38.4","85","70","NaN","NaN","NaN","NaN","88","117","0.0","NaN","NaN","8856","NaN","NaN","NaN","8.0","Nee","00:05:02.5","6","21.0","25","15","39","01:44:15","01:50:54","-56","19"
Wegwielrennen,2023-04-04 12:24:28,false,"Antwerpen Wegwielrennen","30.28","851","01:13:43","141","166","3.1","24.6","34.1","68","61","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","9.0","Nee","00:16:29","4","20.0","31","16","41","01:09:32","01:26:02","-21","17"
Wegwielrennen,2023-03-25 08:49:38,false,"Antwerpen Wegwielrennen","34.74","1,093","01:28:19","149","187","3.7","23.6","46.5","116","122","NaN","NaN","NaN","NaN","85","113","0.0","NaN","NaN","7165","NaN","NaN","NaN","7.0","Nee","00:05:27.6","5","19.0","30","17","40","01:27:12","01:38:10","-65","14"
Wegwielrennen,2023-03-21 17:17:03,false,"Antwerpen Wegwielrennen","29.79","845","01:13:19","140","188","3.1","24.4","43.9","64","65","NaN","NaN","NaN","NaN","86","108","0.0","NaN","NaN","5981","NaN","NaN","NaN","11.0","Nee","00:13:58","4","21.0","29","17","42","01:13:03","01:28:59","-26","13"
